,"('Intercept',)","('A1',)","('A2',)","('A4',)","('A5',)","('B1',)","('B5',)","('C1',)","('C2',)","('C5',)","('D1',)","('D2',)","('D5',)","('A21',)","('A22',)","('A24',)","('A25',)","('B21',)","('B25',)","('C21',)","('C22',)","('C25',)","('D21',)","('D22',)","('D25',)","('A31',)","('A32',)","('A34',)","('A35',)","('B31',)","('B32',)","('B35',)","('C31',)","('C32',)","('C35',)","('D31',)","('D32',)","('D35',)",Target
"('C22',)",,-0.21969996457056246,0.9092182650687108,0.3464750175363583,0.4148573004866157,-0.19586082493976573,0.4783580462602327,-0.14848650252893403,0.9948021808141135,0.45226881313362527,-0.11068226134077862,1.0,0.4301757654704109,-0.21969996457056246,0.9092182650687108,0.3464750175363583,0.4148573004866157,-0.17257021795280006,0.4657302206686272,-0.11068226134077862,1.0,0.4301757654704109,-0.081161687835442,0.9964673311792299,0.4080297151536158,-0.21969996457056246,0.9092182650687108,0.3464750175363583,0.4148573004866157,-0.16456511168233814,0.9893900660692022,0.4611909339051935,-0.12108910701306833,0.9995920613759798,0.43671146458033033,-0.08869921078336108,0.9980735750529662,0.41434508860985636,0.14847161215661575
"('C25',)",,-0.12590566066047884,0.2253090808851344,0.28652150909853197,0.5812270719887146,-0.0016983752184052076,0.8839086839428757,0.11582724534826946,0.40473359634661893,0.9831669127231547,0.18615987535562487,0.4301757654704109,1.0,-0.12590566066047884,0.2253090808851344,0.28652150909853197,0.5812270719887146,0.06301894282181732,0.9505362669959412,0.18615987535562487,0.4301757654704109,1.0,0.2333477188393136,0.442242936276018,0.9877705656020428,-0.12590566066047884,0.2253090808851344,0.28652150909853197,0.5812270719887146,0.08176078650241062,0.39067855010534386,0.9642950352229013,0.16782524742744337,0.4241874950841828,0.9986612609324085,0.2220583508016089,0.43992252579420243,0.9933829016542192,0.5662230618984815
"('D21',)",,0.8419384721001728,-0.19133892178415518,-0.3848502456874248,-0.1038100383000179,0.9197104066538156,0.07080416610251161,0.9733103709548839,-0.11377470111759974,0.1882051093802784,0.9943922585902045,-0.081161687835442,0.2333477188393136,0.8419384721001728,-0.19133892178415518,-0.3848502456874248,-0.1038100383000179,0.951582723438136,0.14272719573139406,0.9943922585902045,-0.081161687835442,0.2333477188393136,1.0,-0.054069498588857005,0.2590103848530506,0.8419384721001728,-0.19133892178415518,-0.3848502456874248,-0.1038100383000179,0.9597525951251891,-0.12720984050834577,0.16046846200283457,0.990015766176612,-0.09034814694765417,0.22257245812340615,0.9996141330038947,-0.061163514166738674,0.2530872357736774,0.4103900432459091
"('D22',)",,-0.20218957224670467,0.880083700932632,0.34350937482739347,0.39049688211005745,-0.17465139044468606,0.47220904174254985,-0.1240507074002581,0.983173247896292,0.4578594193933157,-0.08449915508339069,0.9964673311792299,0.442242936276018,-0.20218957224670467,0.880083700932632,0.34350937482739347,0.39049688211005745,-0.14958108182550314,0.4663814423264142,-0.08449915508339069,0.9964673311792299,0.442242936276018,-0.054069498588857005,1.0,0.4253344365613193,-0.20218957224670467,0.880083700932632,0.34350937482739347,0.39049688211005745,-0.14105106050745317,0.9746385925196535,0.46366877868824924,-0.09533512569665631,0.9937121877233788,0.4469924835431096,-0.06178571017724913,0.9997539226730326,0.4302860721199052,0.17565928842344294
"('D25',)",,-0.11600055661563369,0.17550168143869607,0.2356875710894042,0.464918147005005,0.017493971602286933,0.8052773286262626,0.14019176520945706,0.375999288703402,0.9433695189640481,0.2120098770651959,0.4080297151536158,0.9877705656020428,-0.11600055661563369,0.17550168143869607,0.2356875710894042,0.464918147005005,0.08542007622901167,0.8925283133931167,0.2120098770651959,0.4080297151536158,0.9877705656020428,0.2590103848530506,0.4253344365613193,1.0,-0.11600055661563369,0.17550168143869607,0.2356875710894042,0.464918147005005,0.10494017111157743,0.35911239893370633,0.9126842033754836,0.1934356762005744,0.4002139061965614,0.9784782160199813,0.24790701992629488,0.42167051863902816,0.9991312356087172,0.6354612346520178
"('A31',)",,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9790238821396396,-0.1776710862311522,0.929085009585557,-0.2376415489289867,-0.1411787312571802,0.8835630171975207,-0.21969996457056246,-0.12590566066047884,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.955059093840458,-0.15610198046168614,0.8835630171975207,-0.21969996457056246,-0.12590566066047884,0.8419384721001728,-0.20218957224670467,-0.11600055661563369,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9465616437442055,-0.24397859401083186,-0.15032308185767218,0.8968975862398462,-0.22508593817315098,-0.1296395684887972,0.8531249161831639,-0.20702875567030327,-0.11850580997127508,0.14980243312301003
"('A32',)",,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2367651835072042,0.3867924944516177,-0.22675609629086832,0.9403559685549666,0.2852756301358658,-0.20950854818779135,0.9092182650687108,0.2253090808851344,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2341642199706351,0.3292334139197864,-0.20950854818779135,0.9092182650687108,0.2253090808851344,-0.19133892178415518,0.880083700932632,0.17550168143869607,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.23217382197726122,0.9520411001575095,0.31326366240547765,-0.21483222841217683,0.9184131009056838,0.24199224948821796,-0.1964670485728867,0.8879956109259384,0.18866206765851945,-0.10198776768697047
"('A34',)",,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4468545154894814,0.4397964524854172,-0.4276418079087816,0.35143740348542357,0.34618290518805106,-0.40586648693696437,0.3464750175363583,0.28652150909853197,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4390416148053319,0.388486519273462,-0.40586648693696437,0.3464750175363583,0.28652150909853197,-0.3848502456874248,0.34350937482739347,0.2356875710894042,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4355049852668833,0.35465608621991757,0.37327999473737816,-0.41236371720198456,0.34765205151997775,0.30331534802689614,-0.3906279810536007,0.3442427271997483,0.24921944798619589,-0.11474555081787334
"('A35',)",,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16969964695314446,0.8788766896392308,-0.15180909541275434,0.44135358715215606,0.7060450383821574,-0.12783610018338598,0.4148573004866157,0.5812270719887146,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16331996666816648,0.7875134465969261,-0.12783610018338598,0.4148573004866157,0.5812270719887146,-0.1038100383000179,0.39049688211005745,0.464918147005005,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.15995442713115932,0.45166921358148643,0.7589296288853136,-0.13509566439002943,0.42261227132462437,0.6176232129374956,-0.11048955163165788,0.39708864861509824,0.4966394116661899,-0.10372653774214541
"('B31',)",,0.9465616437442055,-0.23217382197726122,-0.4355049852668833,-0.15995442713115932,0.9912891936085905,-0.051749739573858144,0.9983436499211658,-0.19195036003137902,0.043624093916284586,0.9829736777800607,-0.16456511168233814,0.08176078650241062,0.9465616437442055,-0.23217382197726122,-0.4355049852668833,-0.15995442713115932,0.9995274371230496,0.006278266046597114,0.9829736777800607,-0.16456511168233814,0.08176078650241062,0.9597525951251891,-0.14105106050745317,0.10494017111157743,0.9465616437442055,-0.23217382197726122,-0.4355049852668833,-0.15995442713115932,1.0,-0.20293449832097835,0.02077843058954559,0.9887787288979955,-0.1723722856820468,0.07247967297281305,0.9666549963823433,-0.14728772142734906,0.09938906591259594,0.3455260649750175
"('B32',)",,-0.24397859401083186,0.9520411001575095,0.35465608621991757,0.45166921358148643,-0.22893875646169312,0.4744674648635806,-0.18892457022843162,0.9989429306932114,0.424935083888502,-0.15495593986490602,0.9893900660692022,0.39067855010534386,-0.24397859401083186,0.9520411001575095,0.35465608621991757,0.45166921358148643,-0.20975381475762653,0.44797825353743986,-0.15495593986490602,0.9893900660692022,0.39067855010534386,-0.12720984050834577,0.9746385925196535,0.35911239893370633,-0.24397859401083186,0.9520411001575095,0.35465608621991757,0.45166921358148643,-0.20293449832097835,1.0,0.4398557202669731,-0.16444974650167643,0.9929965377370791,0.4005316631584651,-0.1344176465994192,0.9790951499501281,0.3678214481299503,0.08319954069588564
"('B35',)",,-0.15032308185767218,0.31326366240547765,0.37327999473737816,0.7589296288853136,-0.050817106646408004,0.9746763502327558,0.05098447365559071,0.4483398255883369,0.9963532171456532,0.11522326704531853,0.4611909339051935,0.9642950352229013,-0.15032308185767218,0.31326366240547765,0.37327999473737816,0.7589296288853136,0.0044436660654943415,0.9988024606218209,0.11522326704531853,0.4611909339051935,0.9642950352229013,0.16046846200283457,0.46366877868824924,0.9126842033754836,-0.15032308185767218,0.31326366240547765,0.37327999473737816,0.7589296288853136,0.02077843058954559,0.4398557202669731,1.0,0.09821295804743314,0.4586396682206025,0.9765377603485531,0.14938280597558404,0.46376943010916843,0.9284301075863588,0.41355520438845933
"('C31',)",,0.8968975862398462,-0.21483222841217683,-0.41236371720198456,-0.13509566439002943,0.9621278792503583,0.014096408177287939,0.9955800036868229,-0.15186861233541188,0.12445211767657814,0.9993346320036965,-0.12108910701306833,0.16782524742744337,0.8968975862398462,-0.21483222841217683,-0.41236371720198456,-0.13509566439002943,0.983964652313061,0.08150580196874878,0.9993346320036965,-0.12108910701306833,0.16782524742744337,0.990015766176612,-0.09533512569665631,0.1934356762005744,0.8968975862398462,-0.21483222841217683,-0.41236371720198456,-0.13509566439002943,0.9887787288979955,-0.16444974650167643,0.09821295804743314,1.0,-0.1297820014309631,0.15735078693798094,0.9934658134359995,-0.10209983346144434,0.18740572382838502,0.39512668733658457
"('C32',)",,-0.22508593817315098,0.9184131009056838,0.34765205151997775,0.42261227132462437,-0.20274541536879942,0.4790251485050323,-0.15666058163266863,0.9972637116408264,0.4485944155281799,-0.11953856254629053,0.9995920613759798,0.4241874950841828,-0.22508593817315098,0.9184131009056838,0.34765205151997775,0.42261227132462437,-0.18016704853162924,0.4638456471056097,-0.11953856254629053,0.9995920613759798,0.4241874950841828,-0.09034814694765417,0.9937121877233788,0.4002139061965614,-0.22508593817315098,0.9184131009056838,0.34765205151997775,0.42261227132462437,-0.1723722856820468,0.9929965377370791,0.4586396682206025,-0.1297820014309631,1.0,0.43135791227796966,-0.09782359460092399,0.995922371903565,0.4069994129440489,0.13736692455009297
"('C35',)",,-0.1296395684887972,0.24199224948821796,0.30331534802689614,0.6176232129374956,-0.009235489301337224,0.9059267522882782,0.10599515151444146,0.41357775419057863,0.99125330161945,0.17552558488114706,0.43671146458033033,0.9986612609324085,-0.1296395684887972,0.24199224948821796,0.30331534802689614,0.6176232129374956,0.054087115447497655,0.9650554443893105,0.17552558488114706,0.43671146458033033,0.9986612609324085,0.22257245812340615,0.4469924835431096,0.9784782160199813,-0.1296395684887972,0.24199224948821796,0.30331534802689614,0.6176232129374956,0.07247967297281305,0.4005316631584651,0.9765377603485531,0.15735078693798094,0.43135791227796966,1.0,0.2112679074645159,0.44512567300963285,0.9861620948695111,0.5399507101494788
"('D31',)",,0.8531249161831639,-0.1964670485728867,-0.3906279810536007,-0.11048955163165788,0.92895390360008,0.06033808473581366,0.9790000962580632,-0.12108634601740517,0.17697807604873664,0.9969101911613532,-0.08869921078336108,0.2220583508016089,0.8531249161831639,-0.1964670485728867,-0.3906279810536007,-0.11048955163165788,0.9590816687303437,0.13175104059603068,0.9969101911613532,-0.08869921078336108,0.2220583508016089,0.9996141330038947,-0.06178571017724913,0.24790701992629488,0.8531249161831639,-0.1964670485728867,-0.3906279810536007,-0.11048955163165788,0.9666549963823433,-0.1344176465994192,0.14938280597558404,0.9934658134359995,-0.09782359460092399,0.2112679074645159,1.0,-0.06883425528080388,0.24191522052443254,0.4100115380341856
"('D32',)",,-0.20702875567030327,0.8879956109259384,0.3442427271997483,0.39708864861509824,-0.1803486435209595,0.4744334434512648,-0.1305037788459167,0.9868447666593911,0.45717791864936425,-0.09136725652145246,0.9980735750529662,0.43992252579420243,-0.20702875567030327,0.8879956109259384,0.3442427271997483,0.39708864861509824,-0.15569512597581098,0.46693783315856063,-0.09136725652145246,0.9980735750529662,0.43992252579420243,-0.061163514166738674,0.9997539226730326,0.42167051863902816,-0.20702875567030327,0.8879956109259384,0.3442427271997483,0.39708864861509824,-0.14728772142734906,0.9790951499501281,0.46376943010916843,-0.10209983346144434,0.995922371903565,0.44512567300963285,-0.06883425528080388,1.0,0.4269744681057654,0.16936566203960918
"('D35',)",,-0.11850580997127508,0.18866206765851945,0.24921944798619589,0.4966394116661899,0.012823655330499575,0.8278078704622319,0.1343936874595188,0.3839959793535893,0.9561053822262602,0.20595097028175038,0.41434508860985636,0.9933829016542192,-0.11850580997127508,0.18866206765851945,0.24921944798619589,0.4966394116661899,0.08003684682618803,0.9098965191231498,0.20595097028175038,0.41434508860985636,0.9933829016542192,0.2530872357736774,0.4302860721199052,0.9991312356087172,-0.11850580997127508,0.18866206765851945,0.24921944798619589,0.4966394116661899,0.09938906591259594,0.3678214481299503,0.9284301075863588,0.18740572382838502,0.4069994129440489,0.9861620948695111,0.24191522052443254,0.4269744681057654,1.0,0.6187142939999414
