,"('Intercept',)","('A1',)","('B1',)","('B5',)","('C1',)","('C5',)","('D1',)","('D2',)","('D5',)","('A21',)","('B21',)","('B25',)","('C21',)","('C22',)","('C25',)","('D21',)","('D22',)","('D25',)","('A31',)","('B31',)","('B35',)","('C31',)","('C32',)","('C35',)","('D31',)","('D32',)","('D35',)",Target
"('Intercept',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('A1',)",,1.0,0.9790238821396396,-0.1776710862311522,0.929085009585557,-0.1411787312571802,0.8835630171975207,-0.21969996457056246,-0.12590566066047884,1.0,0.955059093840458,-0.15610198046168614,0.8835630171975207,-0.21969996457056246,-0.12590566066047884,0.8419384721001728,-0.20218957224670467,-0.11600055661563369,1.0,0.9465616437442055,-0.15032308185767218,0.8968975862398462,-0.22508593817315098,-0.1296395684887972,0.8531249161831639,-0.20702875567030327,-0.11850580997127508,0.14980243312301003
"('B1',)",,0.9790238821396396,1.0,-0.10814397750320506,0.9824520756397679,-0.032498487469613646,0.952590254504388,-0.19586082493976573,-0.0016983752184052076,0.9790238821396396,0.9947691954267391,-0.062405731441022634,0.952590254504388,-0.19586082493976573,-0.0016983752184052076,0.9197104066538156,-0.17465139044468606,0.017493971602286933,0.9790238821396396,0.9912891936085905,-0.050817106646408004,0.9621278792503583,-0.20274541536879942,-0.009235489301337224,0.92895390360008,-0.1803486435209595,0.012823655330499575,0.280469624366371
"('B5',)",,-0.1776710862311522,-0.10814397750320506,1.0,-0.026593124719848153,0.952597979620314,0.029163295510661734,0.4783580462602327,0.8839086839428757,-0.1776710862311522,-0.0649933899296466,0.984302370863285,0.029163295510661734,0.4783580462602327,0.8839086839428757,0.07080416610251161,0.47220904174254985,0.8052773286262626,-0.1776710862311522,-0.051749739573858144,0.9746763502327558,0.014096408177287939,0.4790251485050323,0.9059267522882782,0.06033808473581366,0.4744334434512648,0.8278078704622319,0.26195859622778334
"('C1',)",,0.929085009585557,0.9824520756397679,-0.026593124719848153,1.0,0.07532313868261815,0.9916142958016376,-0.14848650252893403,0.11582724534826946,0.929085009585557,0.9961412839814752,0.035520103862135395,0.9916142958016376,-0.14848650252893403,0.11582724534826946,0.9733103709548839,-0.1240507074002581,0.14019176520945706,0.929085009585557,0.9983436499211658,0.05098447365559071,0.9955800036868229,-0.15666058163266863,0.10599515151444146,0.9790000962580632,-0.1305037788459167,0.1343936874595188,0.36779882060887736
"('C5',)",,-0.1411787312571802,-0.032498487469613646,0.952597979620314,0.07532313868261815,1.0,0.1420162144776672,0.45226881313362527,0.9831669127231547,-0.1411787312571802,0.026365975282323602,0.9910236941754916,0.1420162144776672,0.45226881313362527,0.9831669127231547,0.1882051093802784,0.4578594193933157,0.9433695189640481,-0.1411787312571802,0.043624093916284586,0.9963532171456532,0.12445211767657814,0.4485944155281799,0.99125330161945,0.17697807604873664,0.45717791864936425,0.9561053822262602,0.46586106089215384
"('D1',)",,0.8835630171975207,0.952590254504388,0.029163295510661734,0.9916142958016376,0.1420162144776672,1.0,-0.11068226134077862,0.18615987535562487,0.8835630171975207,0.9772378561071938,0.09814901749952806,1.0,-0.11068226134077862,0.18615987535562487,0.9943922585902045,-0.08449915508339069,0.2120098770651959,0.8835630171975207,0.9829736777800607,0.11522326704531853,0.9993346320036965,-0.11953856254629053,0.17552558488114706,0.9969101911613532,-0.09136725652145246,0.20595097028175038,0.40210509496119906
"('D2',)",,-0.21969996457056246,-0.19586082493976573,0.4783580462602327,-0.14848650252893403,0.45226881313362527,-0.11068226134077862,1.0,0.4301757654704109,-0.21969996457056246,-0.17257021795280006,0.4657302206686272,-0.11068226134077862,1.0,0.4301757654704109,-0.081161687835442,0.9964673311792299,0.4080297151536158,-0.21969996457056246,-0.16456511168233814,0.4611909339051935,-0.12108910701306833,0.9995920613759798,0.43671146458033033,-0.08869921078336108,0.9980735750529662,0.41434508860985636,0.14847161215661575
"('D5',)",,-0.12590566066047884,-0.0016983752184052076,0.8839086839428757,0.11582724534826946,0.9831669127231547,0.18615987535562487,0.4301757654704109,1.0,-0.12590566066047884,0.06301894282181732,0.9505362669959412,0.18615987535562487,0.4301757654704109,1.0,0.2333477188393136,0.442242936276018,0.9877705656020428,-0.12590566066047884,0.08176078650241062,0.9642950352229013,0.16782524742744337,0.4241874950841828,0.9986612609324085,0.2220583508016089,0.43992252579420243,0.9933829016542192,0.5662230618984815
"('A21',)",,1.0,0.9790238821396396,-0.1776710862311522,0.929085009585557,-0.1411787312571802,0.8835630171975207,-0.21969996457056246,-0.12590566066047884,1.0,0.955059093840458,-0.15610198046168614,0.8835630171975207,-0.21969996457056246,-0.12590566066047884,0.8419384721001728,-0.20218957224670467,-0.11600055661563369,1.0,0.9465616437442055,-0.15032308185767218,0.8968975862398462,-0.22508593817315098,-0.1296395684887972,0.8531249161831639,-0.20702875567030327,-0.11850580997127508,0.14980243312301003
